Headline,Level,Type,Label,Score
California draws ire as out-of-state factory farms turn pig poop into cash - The Washington Post,other,economy,neutral,0.49804559350013733
New Social Security Rules Implementing From April 2025: Check Benefits Amount & Eligibility - dpradhanbjp.com,market_impact,law_regulation,neutral,0.9199946522712708
Boeing jet earmarked for China returns to the U.S. from China amid tariff war - CNBC,market_impact,economy,neutral,0.8479515910148621
"$1,304 Monthly Checks For SSI & SSDI In 2025, Check Payment Dates - dpradhanbjp.com",other,economy,neutral,0.9104689955711365
"Emirates First Class Passenger Who Paid $50,000 Criticized for Post - Aviation A2Z",other,other,negative,0.5731506943702698
Google is in more danger than ever of being broken up - The Verge,market_impact,economy,negative,0.8074709177017212
Read what Mark Zuckerberg and Facebook execs said about Instagram before buying it - TechCrunch,other,technology,neutral,0.9075543284416199
BIG WINNER! Jackpot-winning Mega Millions ticket worth $112 million sold at Northeast Ohio grocery store - WKYC,other,other,positive,0.9390973448753357
"A massive gold deposit has been discovered, the estimated value of the find is staggering. - Farmingdale Observer",market_impact,economy,positive,0.7360676527023315
Ford halts shipments of F-150s and other models to China: Report - The Hill,market_impact,economy,neutral,0.8672906756401062
Hacking US crosswalks to talk like Zuck is as easy as 1234 - theregister.com,other,technology,neutral,0.6359615325927734
"Trump's knives are out for Jerome Powell, setting up a Supreme Court showdown over the Fed's independence - Fortune",major_event,politics,neutral,0.6222438216209412
Warren Buffett and Jamie Dimon want billionaires to pay their fair share to Uncle Sam. But a 'millionaires tax' would likely affect all the wrong people - Fortune,market_impact,economy,negative,0.5217750668525696
Exporters at China’s Largest Trade Fair Told Not to Leave Early - Bloomberg.com,other,world_news,neutral,0.7918450236320496
'No one is exempt': How tariffs could impact sales of new vehicles - ABC News,market_impact,economy,neutral,0.6685912609100342
Is the US dollar at risk of a ‘confidence crisis’? - Al Jazeera,market_impact,economy,neutral,0.7058092355728149
NVIDIA preparing Chinese board partners for potential GeForce RTX 5090D GPU supply suspension - VideoCardz.com,market_impact,technology,neutral,0.9139558672904968
Pershing Square CEO Bill Ackman Suggests Hertz-Uber Partnership on Autonomous Vehicles - PYMNTS.com,innovation_breakthrough,technology,neutral,0.9244109392166138
OpenAI Puzzled as New Models Show Rising Hallucination Rates - Slashdot,innovation_breakthrough,technology,neutral,0.5223261117935181
Supreme Court temporarily pauses deportations under Alien Enemies Act - CNN,major_event,law_regulation,neutral,0.9253625869750977
Ukraine wary of Putin’s Easter truce and says it will reciprocate only a genuine ceasefire - AP News,crisis_conflict,world_news,neutral,0.7293745875358582
Protesters unite against Trump in hundreds of rallies across the U.S. - NPR,crisis_conflict,politics,neutral,0.7908921837806702
"Knicks vs. Pistons odds, score prediction, time: 2025 NBA playoff picks, Game 1 best bets from proven model - CBS Sports",other,other,neutral,0.9292752146720886
'RHOC' alum Lydia McLaughlin 'devastated' after brother is fatally shot by police during traffic stop - Page Six,crisis_conflict,other,negative,0.7061842083930969
US: Trump says will 'pass' on Ukraine talks if too difficult - DW,other,politics,neutral,0.8680105209350586
Loren Taylor Concedes to Barbara Lee in Oakland Mayoral Election - KQED,major_event,politics,neutral,0.9514766335487366
Thousands gather in London to support trans rights following UK ruling over definition of woman - AP News,other,politics,neutral,0.5937678813934326
Boeing jet earmarked for China returns to the U.S. from China amid tariff war - CNBC,market_impact,economy,neutral,0.8479515910148621
Damian Lillard injury update: Bucks star (blood clot) expected to return in Game 2 or 3 vs. Pacers - CBS Sports,market_impact,other,neutral,0.9536560773849487
5 Ups & 4 Downs From WWE Hall Of Fame 2025 (Results & Review) - WhatCulture.com,other,other,neutral,0.9462912678718567
"Plane crashes into Nebraska river, killing all passengers on board - NBC News",crisis_conflict,world_news,negative,0.7618839740753174
"Box Office: ‘Sinners’ Stokes $19.2 Million Opening Day, ‘A Minecraft Movie’ Still Looks to Block Off No. 1 in Third Weekend - Variety",market_impact,other,neutral,0.7868344187736511
Scientists claim to have discovered 'new colour' no one has seen before - BBC,innovation_breakthrough,technology,neutral,0.6685283184051514
